text,label
жидовская тварь.,1
"абзалов умница, красавчик. люблю его слушать.",0
чмо дырявое,1
позор таким горе медикам конечно не все такие но и за этих страдают люди стрелять их надо,1
да он ахриневший футболист. не доигрывает но просит дохуя денег,1
не пишите чепуху! пользуюсь бипином 20 лет и не какой гибели пчёл нет. соблюдайте инструкцию и будет вам счастье!,0
а сама кожевникова как в депутаты попала???за какие такие заслуги???,0
мотодром тихо,0
нада была их убить,1
"туфли 37,сандали 34,сланцы 31",0
достойный сын своих родителей!,0
"украина это большая помойка, эти долбоёбы только и могут кастрюлю на голову одевать и комика-идиота в президенты избрать. у них гавно вместо мозгов.",1
ты сама из быдло выросла,1
чтоб он сдох тварь. когда уже ответят за свои извращенства,1
белые продали?,0
в церковь сходи несчастнаяи вся ненависть пройдет,0
эта сука кидалась с коктели молотова и теперь плачит..!!! она симульянтка и пропогандистка.. кого слушайте эту суку..!! да ее надо сразу к стенке..!! пару человек к стенке и майдану конец..!! лучше сразу рубить на корню чем терять всю страну... пример украина фашистская терористическая коррумпированная воровитая и пидорастическая страна..!! белорусы вы хотите стать пидорастами..!! потеряете лукашенко бацька..!! вы автоматически становитесь пидорастами.. через неделю в белоруссии будут гей парады..!! 100%.. пример украина..!! с богом ребята на панель..!!! готовьте вазелин..!!,1
единоросов как партию нужно ликвидировать это партия пидоров,1
"и не силуанов,а отсосилуанов",1
стерилизовать и кастрировать .,1
молодец так держать женщины все могут,0
"да ладно !!! просто перережь им глотки, как русским пацанам !!!",1
"мало, надо кастрировать!",1
"не выливают,а продают",0
"изверги, гореть вам в аду.!!! 👎 👎 👎",1
"белый цвет олицетворяет все светлое, доброе, приятное, поэтому суеверные люди считают, что такого цвета кот в доме приносит удачу, счастье и добро. во все времена кошки светлого окраса считались признаком аристократии, достатка, положительными переменами. знатные граждане обожали держать их у себя, считая, что они признак роскоши и элитности. в некоторых странах белого питомца заводят в качестве талисмана. считается, что это принесет им удачу, достаток и успех в любом начинании. многие поверья гласят, что наличие в доме такой кошки поможет защитить домочадцев от дурного глаза, опасного магического воздействия и от всякой нечисти",0
"Я про личные качество. Почему ты не быдло?
",1
говнюк! свора говнюков безработных бомжеи!,1
расстрелять! как изменника родины!,1
где жирик с зюгановым??? почему не поддержу хабаровчан!!! потому что эти два ушлепка с вовкой лобстеров жрут с одной тарелки!!! пиздаболы одним словом!!!,1
"нет, совсем нет. замечательный.",0
