text,label
"ну пять рублей, ну 98 год. и?",0
"народу затуманили мозги...кругом были смотрящие,попробовали бы только пикнуть....опыт у него и его подельников большой...народ протестует против плохой медицины, плохого соц.обеспечения населения жалуются врио губернатора хабаровска,который всего две недели у власти даже его однопартиец говорит,что в о всем крае убитые дороги,как высказался дегтяревдороги,как после бомбежки.....но при фургало все молчали ..страх!!!!!! а восхваляют великого губернатора по взмаху дирижерской палочки его соратники со времен заказных убийств держат регион....некоторые уже в бегах....",1
я что то не пойму за что поддерживать? мне вообще товсе равно сколько и у кого детей .!.когда трахались о чем думали? если рожали знали зачем. нам остальным это зачем? ? ?,1
продам браслет. подьебка.первому клиенту минет в подарок.,1
мой как говорил дед еби кривых сорбатых косых увидит бог пошлет пиздатых,1
"И леваки этого Александра грохнули. Ебанутые.
",1
если деньги завтра отправлю,0
"Ты опять выходишь на связь, шизик, тебя уже исключили из твоей сортиростроительной шараги?
",1
ты долбоеб если так рассуждаешь! мне больше тебе дибилу нечего написать! живи с этим.,1
расстрелять на хуй....,1
ебнутые!,1
👍 будьте здаровы🙏,0
"простите великодушно!!если так,то дай господи ему долгой и счастливой жизни!!!а тому кто так поглумился тоже соего счастья....",0
"когда руский человек осознает, что попы- это бесы в рясах, тогда и прекратится это демонические действие",0
вот бедная она бедная это же надо так не любить людей такие люди позорят наш минздрав таких нужно уже на кол садить и все дело с концом,1
посадить козла,1
добрые дела любят тишину,0
почему это появилось у меня на странице?😳,0
спасибо дорогая!!,0
а кто ты чтобы тебе что то говорить ты холоп ебливый иди пасись,1
"у меня уже 3 раз будет отметка по надписи лично)) первый раз испугалась,начала звонить,но они сказали пока сами не позвонят и не вызовут, ехать не надо.это ошибка системы",0
"война и мир, дубровский, три товарища, гамлет, посторонний, милый друг, принц мартин,джейн эйр,ревизор, илиада,",0
вот ты например. тя кто нибудь ебал здесь?,1
"после 70 жить надоест？когда вам будет за 70 , ох как жить захочется...",0
"хабаровск, у вас нет родины, если вы ее готовы развалить из-за какого то фургала...",0
"не требую, а прошу. не возвращаю, а выбираю.",0
по башке ей так надо а не на овощах.чеб знала че пиздеть под руку голодному мужику,1
"а мне глубоко наплевать, кто это.",0
я бы ее всю трахнул и везде кончал,1
ну твой памятник поставим. 🤣🤣 ты благодетель народа.,0
