comment,toxic
кому он нужен😠,0
магазин цветы переехал по кировач адресу с орбитой и вкусняшкой рядом уважаемые вас клиенты жду,0
"все поберушки,хоть бы роликсы снимали на крещение детей!",0
что же тебя каратели в жопу до сих пор не выебли? или выебли?,1
"именно благодаря этому президенту, россия еще жива. а такие долбоебы, только могут воду мутить. дебилоид.",1
фашистские ублюдки из за океана....вы этого не знали?,1
"какая славная собачка, она одна довольна и жизнерадостна.... 😃👌",0
... не согласятся пока не внесёте интим ...:d,0
"попробуем, всё гениальное - просто...!!!",0
"да не решили ещё господа государевы, думают.",0
"здорово, офигенно здорово!",0
к своим яйцам поднеси ублюдок.,1
👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 ❤и вовку сжечь в месте со всей пиздобратией,1
"а ты не обратил внимания сколько в интернете дебилов которых все устраивает. их власть нагибает и ебет а они говорят , ах как хорошо.",1
и верят ведь в этот бред.,0
это проблядь конченая http://ok.ru/video/1987143993908,1
ето не пацан а выродок котррый готов убивать людей детей,1
уебище переделанное,1
"скажим просто. полный прозападный пидорас.эта гнида спасая себя пойдет на все. хочеш в круживных трусиках ходить, раздвигай булки.типичная гнида коммунистическая.",1
когда этот бой будет?,0
ты ебанутый на всю голову я лучше буду жить в псарне чем с тобой одним просто общаться,1
а на какой улице вы живёте,0
пора стрелять боевыми!,1
"подскажите адрес в барнауле, куда можно приносить вещи.",0
дебилы...живодеры.....,1
автор заметки сергей кныш гомосексуалист лечившийся в психоневрологическом диспансере. не обращайте внимания на заметки этого психа и пидора!!!,1
"В племенах украинцев, особенно западных, с детства прививаются две мысли: 1. Ты самый умный. 2. Ловко наебал - значит молодец, понятия подлость и честь отсутствуют нацело. Поэтому, мой маленький дружок, вся твоя натужная изворотливость не работает. Пообщавшись с тобой пять минут, любой в России поймёт с каким сортом он имеет дело. Даже не разу не услышав мягкий акцент твоей речи.
",1
"нет, выхожу 6го, в четверг, в понедельник сдаю тест на ковид, у нас он обязателен при выходе на работупогода на улице не радует, ветер, дождь",0
сдаётся мне батюшка что вы вообще ибанулись там . ну вас святых понять трудно 😇,1
нахрена с грибницей дернул😕,0
привет когда мы можем встретимся когда я буду баловаться твоей хорошей фигурой твой между ноги чтобы ты чувствуешь с кем можно заниматься сексом с тобой так мне приятно будет заниматься секс ты мне очень понравится,1
бандеровцы берегите вв путина как потому что ока зеницу приду я вам если к власти один львов да останется в аренду и тот в вжириновский ееосво,1
