text,toxic
я сегодня проезжала по рабочей и между домами снитенко и гомолысовой магазином ( на пустыре) бежала кошка похожего окраса.,0
"может, я и ошиблась, но необычный окрас бросился в глаза.",0
"зачем придумывать очередной налог на воздух, если можно обьявить инсульт и грипп- пандемией!",0
"ретро дежавю ... сложно понять чужое сердце , лиш ощутить музыкой видимо",0
2 августа поздно вечером нашли вот такую потеряшку в районе высоток на победе.,0
"девочка явно домашняя, в новом ошейнике.",0
а еще на стоянке никто не проверяет безопасность детей.,0
"возле порта на тарзанке стоит человек и смотрит за детьми, а на стоянке прыгает девочка, а вокруг никого.",0
это просто дэлика зубилосовсем немного переделано кузово.,0
"вы живёте в россии, не оставляйте российских детей без вашей заботы.",0
я на нем за 21 день марафона скинула 5кг и обьемы ушли по 8см.,0
а потом я чего то расслабилась в принципе как всегда и все.,0
пиши сразу путину раз такая смелая,0
"пока хвалиться нечем , не очень хочется затевать ремонт в зале и в коридоре .",0
"для вас ,я возьму на себя труд судить о вас ,по-моему большое открытие быть человеком￼ !",0
"как же здорово осознавать то, что людей поддерживают, помогают, стимулируют! )",0
"моя мама доживала со мной и когда заболела, я ухаживала за ней.",0
очень правильные и верные слова - сказаны.,0
"с праздником дорогие, чистого неба над головой, мира на всей земле.",0
"интиресно как это - вода чистая но не из под крана, что то не понять",0
а про этого извините но реально ломать мозг над этим людям думаю нестоит.,0
"про данный пост забудут через некоторое время, да и как про игру.",0
и ездили на борту грузовика без всяких подписей и инструктажей.,0
ты минут пятнадцать назад смотрела сис приходил,0
"очень жаль таких детишек,которые воспитываются с неадекватно- психическими отклонениями!",0
"на автобанах только толщина подушки перед основным полотном больше метра, неважно где, германия, франция, чехия, венгрия и т.д.",0
выгодней им дать земельный участок и брать за него налоги😂,0
все против народа.. учить историю надо фашистские отряды и полицаи были утинскиештурмовые отряды времен 1933 года как в германии,0
"а мне зять подарил э/ простыню на дачу, теперь радуюсь каждую прохладную ночь, дивлюсь себе-зачем насморк заводила, когда есть такое чудо!",0
"можно и в жару, попали в самое пекло, зоопарк в дендропарке находится, все в соснах, очень рекомендую))",0
"убери деньги изо всего что считаешь вечным, тот тоже исчезнет но вера никогда",0
"некоторым, очень трудно видеть красоту природы да, правда это чудо природы",0
я прошу чтобы все последствия прошлых и нынешних ошибок и недоразумений рассеялись да будет так !,0
"если есть возможность возьмите пожалуйста у меня 3 кошки и 4 котенок ,вам добро вернётся",0
"ладно нам долго лететь.. - ааа,-отвечает,- зато вас первыми откопают...",0
"здравствуйте, можно узнать цену курочек?",0
"так он может терять свои позиции еще лет 100, а то и 500 и ни на шаг не сдвинулся.",0
"а медиков вообще не за что - приехать к больному, поставить диагноз орз, не сделав тест, и бросить на выживаемость!",0
"это я только тему коронки затронула, не говоря об остальном!",0
"кот само спойствие и пофигизм, а собачка боится??",0
"а ты не помнишь как русских гнали из всех союзных республик, а сколько вырезали в чечне, не в курсе или тебе кавказцы нравятся горячие парни, так поверь русские есть гораздо погорячее",0
такой вещи простой в хозяйстве не оказалось!,0
"у меня тоже так накрылся,я его ликвидировала,буду новый сажать.",0
"как россия, семимильными шагами, путями и созиданиями.",0
не было бы прогресса вы бы до сих пор на полях урожай в ручную собирали бы.,0
вы сами готовы на поле урожай собирать или очищать от сорняков поля в любую погоду?,0
в новополоцке отметили 90-летие вдв и открыли бюст-памятник герою советского союза василию маргелову,0
"это было бы многим удобно, так что не вижу в этом какого то кошмара",0
"мы тоже были в хорватии, на границе паспорта регистрировали и туда и обратно.",0
"из за этого немного дольше едешь, чем обычно.",0
"странно вы пишете - хочется верить, что он достойной актер....если он вам нравится, как актер, то нравится...почему хочется верить, еще и в достойного.",0
"ну а его личная жизнь, как и всех, ни вас, ни кого вообще не касается",0
"святый пророче божий илья,моли бога о нас грешных!!",0
молодец что сумел найти силы воспитывать дочь а проблема с ногами это мелочь главное это любовь,0
только помню мы и сейчас дружим хотя прошло более 40 лет наш 10в и сейчас иногда собирается смеемся друг.,0
",над другом какие были и какие есть школьные годы чудесные а подружка с которой я сидела за партой была ещё у меня на свадьбе.",0
ирина спасибо большое за поддержку и добрые слова 🌸💋🌼,0
очень вкусный напиток 🥤 советую всем,0
"очень красиво и действительно раскошо,уютно.",0
как говорил милославский- храните деньги в сбербанке- но нужно читать между строк- храните в долларах!,0
байер-рейнджерс 2:2 севилья-рома 2:1 базель-айнтрахт ф 1:0 вулверхэмптон-олимпиакос 3:1 ман сити-реал м 3:2 ювентус-лион 3:0 бавария-челси 1:1 барселона-наполи 2:0,0
вышлю почтой только переведите деньги.,0
"мальчику хоть какие-то проблемы в жизни , даже элементарные проблемы со здоровьем и все сразу изменится",0
крепкого тебе здоровье и твоим малышам.,0
"обнищание крестьянских масс, это конечно не социальная проблема!",0
