text,toxic,language
I am indian Ingland won the world cup final,0,en
#fairelections #fuckjoebiden #fuckzuckerberg #freespeech #loveusa #saveamerica #maga,1,en
"Born Indian, grown in UK, married to an European and consider myself a truly universal being.",0,en
Did some stick a Lego in your cunt?,1,en
The US women's team is an inspiration for little girls everywhere! So proud!,0,en
"Wow, well done my beloved India.",0,en
and  to be part of URL,0,en
Nigga u dumber then dummer that beat hard nahh bitch,1,en
Power to the people! She is authentic in her fight for social justice.,0,en
Send fuckin help I'm steaming but it's awrite cause I'll get a fag in 2.5 hours,1,en
FUCK HIS WHORE ASS SO BAD IAM,1,en
i told myself i was gonna incest in my makeup more this summer ...lets see how this goes,0,en
I imagine 11 spuds from trainspotting... scottish maradona,0,en
Look at all of the retards in the comments shitting on Meta and Zuckerburg.,1,en
"A re "" homosexuality is a disease"" yes, we will never let this go URL",1,en
" Uh, 51% of women who seek a first abortion were using contraception in the month they got pregnant.",0,en
Imagine taking this Zionist shithead seriously lol.,1,en
*file under STOP TALKING ABOUT MUSLIM WOMEN'S BODIES*,0,en
That pussy needs to get wrecked,1,en
Congratulations Pakistan.. Love from uganda,0,en
Just fucking lol at this idiot who thinks nazis who hated Jews would have welcomed blacks with open arms,1,en
"If you squint, it looks like a fat guy bending over showing his Trump anus.",1,en
Real christians use to stone mother fuckers to death so just let that sink in,1,en
if you don't shut your gay ass up,1,en
Damn Slime you acting different yeah fuck yall hoes and niggas,1,en
"You know: areas where y'all ( you know, members of your Fucking culture ) CHOP the arms off of ( Humans ) ?",1,en
god i rlly do fucking hate some kfans.,1,en
"I listened, still doesn't justify it. Nothing justifies racism",0,en
"- id still slap a bitch if she disrespect, but ain't no wibe still URL",1,en
"i'm badder then you bitches , oh and fuck you too my sloppy seconds",1,en
"I said it before and I will say it again, 1000 years ago africa is poor and stupid, now africa is the same, poor and stupid",1,en
She was a whore who craved multiple cocks in her cunt.,1,en
Aither deserves to be recognized for the LGBT woman she is.,0,en
HE GOT SO FAWKIN TAN  URL,0,en
Females that are lustful and sexually degenerate are the ugliest of women.,1,en
" This must be humbling Rhoo, you really are a legend and we as the country are proud of you",0,en
Go choke on a bag of flaming dicks you little bitch.,1,en
"Hazrat Mirza Masroor Ahmad ""Focus on those things that unite them"" ",0,en
"Cool with it, in fact I think bi guys and girls have it the best.",0,en
Fun fact: Only respecting women that you're attracted to isn't respecting women.,0,en
" We're here, we're queer, we're all in the same room",0,en
Brian Kemp: Reverse State Agency's Hijab Ban - Sign the Petition! URL via,0,en
I HAVE TO GO BUY ANOTHER FAGGOT DETECTOR BECAUSE OF javyerland RUN AWAY!,1,en
"Request to Pakistani and Indian cricket fans in eng, Go to the final and support this great game that brings us all together",0,en
Homeboy looks like the president of his local NAMBLA chapter,0,en
Would you be interested in a bisexual crossdresser. I give great head and would love to relieve your tensions. My fem name is Amber,0,en
They're just mad they didn't get to rape her.,1,en
Bitches find an illiterate man with anger issues & a gun & call him a hood nigga lmao URL,1,en
Tall guys love em cos they love us back. And most times...we give the energy we get.  URL,0,en
You have officially ruined my Saturday by being a worthless piece of trash.,1,en
"Late to the party, but I'm a bisexual Catholic. Still not out to my family, but I've slowly accepted this part of me!",0,en
my bisexual heart,0,en
"I think that could be said of anybody, regardless of sexual orientation.",0,en
These ugly skanks believe there own lies,1,en
Brown people do the same shit at their country would be labelled as scum polluting their streets,1,en
Am trans. Can confirm it's sweet.,0,en
and you believe your stupid little conspiracy cult?,1,en
"Tell em shoot her in the face, bitch, I hate thots URL",1,en
WHO GIVES A FUCK....THESE SHITHEADS NEED TO BE TORTURED!,1,en
a female icon...u lead the pack so ur backs to us,0,en
I don't condone it and I treat everybody like a piece of shit no matter who they are.,1,en
These heathens are a cancer on the entire world!,1,en
I wish the rioters would burn the clinic down,1,en
Saudi Arabia and United States of America : Open Sana'a Airport for Commercial Flights - Sign the Petition! URL via,0,en
No I got mad because you're a stupid fucking faggot,1,en
I'm not quite done telling them what fucking gullible brainwashed idiots they obviously are yet.,1,en
Getting dicked down. URL URL,0,en
Title: Me! behind the scenes the story of Benjamin button Me: correct that with... the story of Benjamin button,0,en
And by a catty whore bitch.,1,en
This is why I'm defecting to Sweden.,0,en
Credit applications ask about your citizenship!? I think citizenship has nothing to do with racism.,0,en
Hey Libtard lady Keep reading as you may finally see the light so we won’t block you but we will delete your dumb ass comments nobody cares about.,1,en
", celebrated in several countries to focus on issues facing men's health. Take a look at this article and let's talk URL URL",0,en
you can have anyone you want in your wedding party. goes for straight weddings too.,0,en
i wanna pump 90 quadrillion loads into that disgusting lookin euro trash HIV asshole,1,en
Reflw t on my dick you hot thing,1,en
Happy pride month enby friend! From a binary trans man,0,en
I'll kick that hoe in her chest,1,en
"At least I have fewer chromosomes than you, bitch",1,en
"We want citizenship, we want all our rights. We don't trust them. We will return only if international protection is in place. URL",0,en
cant fuck w no nigga who easy to give his dick to the next bitch thats ghetto and dirty.,1,en
"No, don't die They have to kill you 100 times more Our martyr's blood will be the OIL to burn Zionists Fuck Zionism Long live Palestine URL",1,en
"Serving black girl magic, melanin goddess, nubian queen realness good LORT.",0,en
all that pussy nigga choose to eat her ass.,1,en
Better to be an Ottoman revivalist than a Nazi Kurd.,1,en
As a Filipino we can sing and hear notes with clarity ..it's the Spanish girl who rules! Nina hermosa bravo!,0,en
You got fucked like the lil slut you are?,1,en
Anything in Minecraft: *Exists* Felix: He was like a father to me *SOBS*,0,en
We can't stop thinking about this amazing LGBTQ+ representation in ! URL URL,0,en
"., former school superintendent, makes a passionate case that unequal educational opportunity is a root cause of racial disparities in the U.S.",0,en
The shooters ARE NOT immigrants. Think about that.,0,en
"thats not what OP asked, though. OP asked why you think we arent Christians - regardless of salvation.",0,en
Move your pathetic asses to Mexico then leave assholes,1,en
We mexicans are friendly and always eager to help others have a good time!,0,en
Liberalism is not a cult you twat.,1,en
"i hate the females in this generation , seriously.",1,en
