text,toxic
Sahi yehi dynamic Fare.  Aur loota hai,1
Atul Kulkarni bhai dusro ka to nahi pta but I am love india,0
Babloo Kumar tu ise apna jija bana le,0
Isme naya kya sirf 2 Jan hi Beth sakte hai 😂😆,0
श्री श्री जिनके  लिए पूरी सरकार ने दिल्ली मे यमुना भी बरबाद होने दी सारी सुविधा दी उनसे मिलने से देशविरोध का क्या मतलब बेशक कोई और मिलता तो उसे तमगा और पाकिस्तान का निवास मिलते,1
jaise ki Bhartiya Janta Party ka sankalp tha.......,1
juta nahi bom fekna chahiye tha  mar jata sala chor sakal se to choor lagta hai us se acha to varun ghandhi hai jis me bhartiya sanskar hai,1
"Part time job करके Rs.10,000 - 30,000 हर महीने कमाना चाहते है तो .......आइये DIGITAL INDIA से जुड़िये......Zero investment.... JOIN होने के लिए आप  1⃣ अपने फ़ोन के play store में champcash लिखो और उस app को अपने मोबाइल में install कर लो ! 2⃣ अब app पर click करो और sign up पर click करके अपनी डिटेल्स भर दो. 3⃣ Refer id of sponsor पूछेगा वहाँ पर 15555922 डाल दो  इस I'D (15555922) को खाली पेपर पर लिख लें आगे जरूरत पङेगी  4⃣ complete challenge और अपनी id activate करके business से जुड़ जाओ।",0
ये जीत से बीजेपी के नेता ज्यादा खुश होने की जरूरत नहीं है अपने में घमण्ड नही  उदार बनने की जरूरत है नही तो जनता सिर पर बैठती है तो उठा कर पटकती भी है आप सभी कार्यकरता जमीन से जुडे और जनता का सेवा करे,1
वीरों की कुर्बानी व्यर्थ नहीं जाएगी धन्य वह भारत माता ऐसे वीरों को जन्म देने वाली,0
बहुत ही अच्छा मैं समझता हूं कि अगर ये बातें लोग समझ जाएँ तो लोग सिर्फ आदमी रहेगा  न हिंदु न मुस्लिम और न अन्य  सिर्फ हिंदुस्तानी,0
Har ek female human or animals sabme female hoti hai aur sabka kidhar maa ka jarur hota hai,0
"aakhr ""Dalit ""h to inshan.........",1
In logo pe aur karrawai honi chahiy,0
Abhi maaloom huaa h kya,1
15 क्षेत्रों में प्रत्यक्ष विदेशी निवेश का रास्ता आसान बनाने के सरकार के फैसले के विरोध में भारतीय जनता पार्टी का मजदूर सगंठन उतर आया है। #FDI,0
Bharat main azadi ka fayeda yese kute uthate hai.or foujio or police ka manobal girate hai..agar dusra desh hota to kabhi ka suli pe chada diya hota.,1
Omg kati mota hun k kha rw Ati mota ko,0
tum logon ko surgical strike k meaning hi nahi pata 2 jawano ki beheading kar ka tea biscuit khaa pii k wapis ana isko kehta hn real surgical strike or tmhara media khud iska proof de raha ha doob maro sharam sa 8lakh hinjro ki army bethai hoi ha jo sirf bachon or ladies ko hi darari ha,1
Saurabh apne bhi karte he flare me,0
Bahen ke loude mulle tum sale pahle apne ghar me bhajan karwane ki himmat rakho,1
Bigg boss aapko btana chahte he ki koi bike nhi dikhai jaegi aaj,0
Kya Modi sarkar ki Kashmir policy fail he? Zaverbhai Ranghloliya sec of Gujarat Pradesh Congress Samiti,1
Aur gujrat kaise jana jaata hai,1
Itna kyu jhoot bolte ho lagta.ha pichle saal.ka text chupka rahe ho😂😂,1
आपकी मुस्कुराहट लाजवाब है डिअर,0
Ekansh Singh Gaharwar Are kya muh laga rhe ho inse Ye apne desh ko khila skte hi nih   Chahiye inko kashmir Huh,1
"दिल्ली के डिप्टी सीएम मनीष सिसोदिया का कहना कि दिल्ली ही नहीं, देशभर से लोग चाहते हैं कि दिल्ली पूर्ण राज्य बने, दिल्ली साफसुथरी हो, करप्शन मुक्त हो और पूरे देश के लिए नज़ीर बने...  #ManishSisodia",0
Aabe isse kaunsa award chaiye,0
O surgical strike nahi farzikal strike tha feku ne aur dalal media ne milke deshwasiyon ko chutiya banayatha,1
Bahi ankr to hain jisne firoti Magi thi zindal se or jail bhi gaya tha bo kab se sach bolne laga,1
Wah ji kutta bol hi gya...Itna bada besharm hai ye insan ....Ki iske chennal pr iske har vedio pr like se kai guna jyda unlike hoti hai...mC,1
"Elan pe elan, elan pe elan, judge SAHAB. Bus paise nahi miltey",1
World ka sabse big Indian post office Bank.Badhai modiji ab har Garibo ko Turant jandhan account ka labh mile,0
aysa checking ka kam to pure desh me hona chahiye,0
गोवा में विधायकों के विदेश दौरा विवाद के बाद कर्नाटक के विधायक करेंगे विदेशी दौरा...खबर पढ़ें... http://khabar.ndtv.com/news/india/after-goa-mlas-foreing-trip-row-now-mlas-from-karnataka-planning-for-visit-532199?KhabarFB=007,0
