text,toxic,language
ушедшие в мир иной запечатлены и.е.репиным на века.,0,ru
"как мне набрать еще 2 очка, чтобы открыть сундук",0,ru
भारत चीन तनाव के बीच विदेश मंत्री एस जयशंकर और रक्षामंत्री राजनाथ सिंह लेंगे SCO बैठक में हिस्सा,0,hi
", celebrated in several countries to focus on issues facing men's health. Take a look at this article and let's talk URL URL",0,en
а тебе завидно ебанушька не всем как ты грузчиками ебашить чмо,1,ru
Happy pride month enby friend! From a binary trans man,0,en
NSUI हिमाचल प्रदेश के कार्यकर्ताओं के द्वारा JEE की परीक्षा देने आए छात्र-छात्राओं को कुल्लू व हमीरपुर जिले में कोरोना महामारी से बचाव के लिए मास्क व सैनीटाइजर बांटे गए।,1,hi
"I like to socialise its nice to socialise with people in Lithuania, I am black guy.",0,en
‘मोदी ने अर्थव्यवस्था को जर्जर किया’ - जीडीपी पर क्या बोले विदेशी अख़बार,0,hi
"ये सब रहने दे,पहले तू बता बुखारी इस्लाम में तो ट्वीटर 'हराम' है फिर क्या तू 'हरामी' कर रहा है?",1,hi
"канули в лету те времена, когда водоемы были читыми",0,ru
Send fuckin help I'm steaming but it's awrite cause I'll get a fag in 2.5 hours,1,en
"एक्ट्रेस सारा अली खान. पिछले दिनों उन्होंने अपने घर में गणपति की स्थापना की और पूजा की फोटो सोशल मीडिया पर पोस्ट की. लेकिन लोगों को उनका गणेश पूजा करना रास नहीं आया. वो उन्हें ट्रोल करने लगे, साथ ही साथ इस्लाम का ज्ञान भी बांटने लगे.",0,hi
"At least I have fewer chromosomes than you, bitch",1,en
"если болен , то нужно лечить , не выкидывайте малыша , подарите ему дом , ласку , уход !",0,ru
dигеvеsтпик смутноевремя интернете чем пишут в в про какое хуйло основном то да интернет надо отключать,1,ru
navy picks up 400 en route to URL URL,0,en
"अगर सुशांत मानसिक बीमार था, तो मौत से 4 दिन पहले वो बिजनेस डील कैसे कर रहा था? देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर LIVE :",0,hi
"mw325r создает сеть wi-fi, которая обеспечит покрытие на площади до 500 м².",0,ru
"राम....जीवन है, राम.....करुणा है,राम.....मर्यादा है, राम के नाम पर “हत्या” करने वाले “राक्षसों” इस विराट धर्म को “बदनाम” और “छोटा” मत करो.",1,hi
ирина спасибо большое за поддержку и добрые слова 🌸💋🌼,0,ru
"он и мне прислал пидар эту прокладку,alexandr shkodin ответил виктору напиши по теме.",1,ru
"I said it before and I will say it again, 1000 years ago africa is poor and stupid, now africa is the same, poor and stupid",1,en
जिस देश में कन्हैया कुमार जैसा पढ़ा लिखा युवा हार जाए आतंकवादी जीत जाये उस देश की जनता क्या ?,1,hi
गुंडा गर्दी का आलम ये है की अब राज्यसभा को भी नहीं छोड़ा जा रहा हैं. पाप पार्टी के लीडर किस दोगले को रखा हैं रे केजु साला कुकुर को गांड मे पेट्रोल डाल देना चाहिए.. ShameOnYou पाप पार्टी,1,hi
