text,label
"я не понимаю в чем проблема просто заменить. Я вам позвонил через два часа после покупки, как только увидел проблему. Это же явный обман покупателя.
",0
надо до убавить 150г. сахара и 80 гр масла сливточного.,0
"Это ты на воле такой дерзкий. На тюрьме ты либо с Ворами либо с мусарами.
",1
пора тебе соснуть уже,1
"Тебя нужно убрать лопатой нахуй в тот быдлятник, откуда ты выползло.
",1
расстрелять гада.,1
придурок противно смотреть мразь,1
пидор ты гнойный сидиш за границей и мутиш народ козлина ваша демократия нам не к чему,1
"екатерина, здравствуйте, я не получила предыдущую закупку, записывалась в комсу на чайкиной 79 на раздачу, но раздачи так и не было, может быть в другом месте я могу получить, в тему раздачи писала, там не отвечают",0
преданный собак никого нет и когда уроды люди издеваются над животными и такие же уроды дети то их надо наказывать жестко,1
"и это правильно,давить надо всех этих майданутых, достали до чёртиков.",1
во сколько из рубцовскм выезжаете?,0
"да, к сожалению это старая статья, хотя и интересно написанная, от души. но сегодня также были торжества. так что— с праздником!",0
кто мы-то(победили)...? а вот прогнули и продолжают гнуть нас-это точно!,0
а какого хрена ты вообще живёшь в россии? сваливай на запад...,0
актер человек мужчина его никогда не забудешь он дружить умел помогал друзьям и все фильмы он не играл жил ролями!!!,0
спасибо. надо приобрести по случаю.,0
"А вот был бы чат не тупой, были бы в курсе. Если бы чат не был овощебазой, они б не стали такой жир воспринимать на полном серьёзе",1
пидор в жопу своей жене засунь,1
☕🍸🎂поздравляем желаем здоровья.,0
и расстреливать.,1
"сволочи, тысяча проклятий га ваши гнилые души!",1
"здравствуйте, елена! работа вахтой в москве и московской области в зависимости от выбранной вами вакансии...зарплата от 40000 за вахту..так же в зависимости от выбранной вакансии",0
по которым ходили пешком.,0
"Януковичу дружбан нужен.
",1
"живота у неё нет , да эта старая падаль совсем охуела от наглости . :-d :-d как бегемот вся складками покрыта , жаба раздутая от самомнения . :-d :-d",1
у меня сейчас таких две. пользуюсь редко.,0
езжай на украину там новых мотоциклов на консервации полно луганская область тот же стаханов .с нулевыми пробегами в масле еще тряпочкой всю консервацию сотрешь и будет вам новая за разумные деньги,0
лучше бы они не производили на свет таких уродов.,1
"девочки милые добрый день. поздравьте пожалуйста мою любимую сноху настю., с днем рождения! ей завтра исполняется - 31 год. если можно,песню для неё красивую! спасибо всем огромное!!!!💐 💐 💐 #u9b079b4136s# #u9b079b4136s# #u9b079b4136s# ;-) ;-) ;-) 👍 👍 👍",0
"козёл он , мразь и падаль ! как он может что то помнить , подонок , когда обжерался и обдалбливался до усрачки ?",1
"пидорас, а кто такие мрази путиноиды , хуесосы акакбылов90-е дрочеры , авыхотитекакнаукраине гандоны?????",1
"ебаный в рот , я аж испугался 😱🙈🙈",1
"елена и инесса, спасибо за подарки союзу ! 💐 💐 💐",0
"надо не в церковь бежать, где блуд и осквернение всего святого и не кормить этих пиздельников. нас рать, а им насрать на всех вас, лишь бы бабки приносили бабки))))",1
"путинские прихвостни-воры и ублюдки,враги народа!!!",1
"мрази поганые, на кол их!",1
"ну,вобше офонарели,писащики блин.😡 😡 😡 😡 😡",0
орг солнцева на попова 113 от 18июля,0
"лучше пиши,твои мемуары о хуесосании будут тебя кормить хорошо)",1
"ты сам пидор конченный. закрой хлебало школота. тебе что жена не даёт, ты решил все на людях отыграть? засранец сам не играешь так людям мозг не выноси.",1
валить бездарность пидарскую,1
ооо оч хотел всегда в хорватию,0
"первый вариант самый удачный! не давит своей монументальностью, лёгкий и лаконичный. почти не загораживает прекрасный пейзаж, а на памятных фото будет естественно и ненавязчиво дополнять их. своей схожестью со старой стелой символизирует связь времён и поколений курильчан. да и загрязняться будет гораздо меньше и медленней, чем «конкуренты».",0
"мы получили и уже ходим , уже на полный день. деток мало в группе, очень хорошо",0
ку-ку штоля ваще уже? 😅 государства без народа не существует и что это вы подразумеваете под государством?)) а народные достояния не только природные ресурсы к статье в цивилизованных странах идёт процент гражданам от них. так вот народное достояние это ещё и все то что строили мои родители дыды и т.д.,0
"надо людей лучше лечить. с коронавирусом минздрав обосрался, а в экономику лезет. ублюдки.",1
вот это очко мммм,0
"время не подходит, меня не будет.",0
привет! А как это сделать? Тег добавить или что? Я на Пикабу зарегистрирован недавно!,0
"ты тупорылая свинья сама себя не узнаёшь, потому что нажратая сука. тупорылая зомбированая свинья, те просто совет. смени памперсы и в люлю. конченый пейдерст.",1
великолепное школьное платье!👍👍👍👏👏☝,0
поделитесь почему стыдно?,0
да он уже пролетел.сушите весла,0
какая ты красивая и сексуальная твоя красота это искусство,0
"Я как раз в Краснодарском крае живу. В прошлом году нормально посылки доходили, в позапрошлом привезли битый телефон, а в этом ещё ничего не брал почтой.
",0
"тёщенька с зятем, какая красота! здоровья, настроения на долгие года!!!",0
"бочка пластмассовая , диск титановый наверное - всё лёгкое. обычная удочка скорее всего...",0
опять женька-пидарок выполз?,1
"их пора тоже убивать,вместо одного десять",1
да не очень уж идельная,0
"необязательно быть китайцем, чтобы в пиздаболах увидеть пиздаболов)))",1
пятков.настаиваю-назови войсковую часть т вус-военно-учетную специальность.годы службы.или не е...и мозги народу.обезьяна.,1
о вобб оов о б воббочз приходишь в поликлинику о идешь к двери врачебного кабинета сидящие бабки начинают на тебя орать чтобы ты не лез без очереди мужики грозятся дать по ебалу если не сядешь к конец очереди длинной садишься к конец очереди о приём должен но врача все нет начаться о очередь называет врача пидорасом мудаком чепушилой о стараешься не шевелиться о потому что ты и врач есть,1
млять нет надо носить скрины.темы убивать,1
