text,toxic,language
"Petrol Diesel Price: आज रही शांति, जानें अपने शहर के दाम via PetrolPrice DieselPrice",0,hi
"कहाँ चले ये सोच के परेशान है की सड़क पे चलना ठीक है या साईड में आज भगवान इसके साथ था... जबकि इसको तो साइड में कच्चे रास्ते पर चलना था वैसे... मुझे तो लगता है गलत साईड चलना ठीक है , सामने से आने वाले वाहन दिखते रहेंगे बाकी... तो है ही कि , जाको राखे सांइया मार सके न कोय 🙏🏻🙏🏻",1,hi
इस हफ़्ते के Neta Nagri में अर्थ व्यवस्था और GDP पर ख़ास फ़ोकस.. SSC/Railway exams पर नज़र और भारत चीन का मसला.. देखना ज़रूर!,0,hi
"RT इंदिरा गांधी जी और राजीव गांधी जी ने देश के लिए अपना खून बहाया, कफन और स्टेशन बेचने वाले कुछ पाकेटमार कहते हैं…",1,hi
"अधूरे हाउसिंग प्रोजेक्ट्स को पूरा करेगी सरकार, जानें क्या है तैयारी via Home HousingProjects",0,hi
"सलमान खान के BIGG BOSS 2020 में नजर आएंगे ये सितारे, सोशल मीडिया पर तेज हुई चर्चा BiggBoss14 BiggBoss2020",0,hi
शंघाई सहयोग संगठन (एससीओ) की एक महत्वपूर्ण बैठक में भाग लेने के लिए मास्को रवाना हो रहे रक्षा मंत्री राजनाथ सिंह चीनी समकक्ष से मुलाकात नहीं करेंगे,0,hi
"तुमलोग कितने भी पढ़ लिख लो ,पैसे वाले बन जाओ तुम लोगों की जिहादी मानसिकता नहीं जाएगी।",1,hi
रक्षा मंत्री राजनाथ सिंह तीन दिवसीय रूस की यात्रा के लिए आज प्रस्‍थान करेंगे। रक्षा मंत्री रूस के रक्षामंत्री जनरल सरगेई शोइगु के निमंत्रण पर मॉस्‍को जा रहे है जहां वे संगठित सुरक्षा संघीय संगठन सीएसटीओ और सीआईएस देशों की संयुक्‍त बैठक में भी हि‍स्‍सा लेंगे। फाइल फोटो,0,hi
"आ गया दल्ला मुल्लों की दलाली करने, अरे जो अल्लाह हो अकबर कह कर मन्दिर तोड़ रहे थे वो ""मुसलमान नहीं थे""। सूअर तू कह रहा हैं कि मस्ज़िद पर हिंदू हमला कर रहा है। थू थू...",1,hi
ये क्या हो रहा हैं मुंबई में पाकिस्तान जिंदाबाद के नारे लगा रहे है अब ब इनको देशभक्त मनु साले सब आतंकवादी ह कोई ब भई कहने लायक नहीं हैं,1,hi
"पिछले 24 घंटे में 3256 नए मामले आए हैं, तो इस दौरान 29 और मरीजों की मौत हुई है.",0,hi
पूर्व राष्ट्रपति स्वर्गीय श्री प्रणब मुखर्जी जी को भावपूर्ण पुष्पांजलि अर्पित की।,0,hi
RT दलालो मिडिया को आज पता चला घर उजड़ने का दर्द क्या होता है आदिवासियों के घरों पर बहुत बुलडोज़र चलाये दल्लो को नही दिखे आज…,1,hi
ऐसे दल्ले बॉलीवुड को बदनाम कर रहे हैं जिनकी बॉलीवुड में कोई हैसियत नहीं एक भी फिल्म उसकी हिट नहीं दो-चार छिनरा छिनरी दो चार भरुआ मिलकर बॉलीवुड को बदनाम कर रहे हैं दल्ले पहचान बनाने के लिए काम करने की जरूरत पड़ती है दलाली नहीं काम करेगा तो बेटा नाम होगा नहीं तो जूते पड़ेंगे,1,hi
"भारतीय संस्कृति में गुरु-शिष्य का संबंध अद्भुत है, अनुपम है। गुरु ही, गोविंद तक पहुंचने का माध्यम हैं। शिक्षक दिवस के पुनीत अवसर पर सभी आदरणीय गुरुजनों के श्रीचरणों में सादर नमन। गुरुदेव अपने आशीष से हम सभी को अभिसिंचित रखें, हम सभी का जीवन पथ मंगलमय करें। यही कामना है।",0,hi
"बचपन में सुना था जो गरजते हैं वो बरसते नहीं, अब मालूम हो रहा है सच विकास गायब है",1,hi
"Facebook की दक्षिण एशिया पब्लिक पॉलिसी डायरेक्टर Ankhi Das को जान से मारने की धमकी मिली, दिल्ली पुलिस के सामने अपना बयान दर्ज कराया",0,hi
आज के दिन भारत में एक कलंक मनहूस व्यक्ति की जन्म हुई थी जिसने पूरे भारत को बर्बाद कर दी जितने सरकारी संस्था थी अपने मित्रों के हाथ बेच दी देश को 100 साल पीछे धकेल दी,1,hi
"रिया और शोविक से चार घंटे तक पूछताछ हुई, पहले दौर की पूछताछ खत्म Sushantsinghcase JusticeForSushant",0,hi
हिंदूओं ❗.. तुम्हारी बहन - बेटियां जिम में बहुत मेहनत कर रही है और उन्हें सिखाने ने अफजल तो 👉 बहुत - बहुत मेहनत कर रहा है 😠😡😡.. आगे की कहानी सावधान इंडिया में अवश्य देखना तुम्हारा सर गर्व से ऊंचा हो जाएगा 👇😠😡,1,hi
RT इधर रिया कंगना मीडिया वायरस पे चरस बो रही है उसके बाद आईपीएल वाले चरस बोयेंगे कोरोना गया तेल लेने वाक़ई मोदी जी आप तक़…,1,hi
"रोजगार माँग ले जो,हम गद्दार लिख दिये जाते है मोदी तेरे राज में हम, खुद बर्बाद लिख दिये जाते है तु बेऔलाद है तुझे कहाँ मालूम बेरोजगारी का गम युवा तो है पर घर पे अब मक्कार लिख दिये जाते है",1,hi
तेरे से किसने कहा ओवैसी जी 72साल के है साला गोबर पहले ज्ञान बढ़ा ।,1,hi
"बुजुर्ग और निर्दोष साधुओं की हत्या में जो भी शामिल हो ,चाहे वो हिन्दू क्यूँ न हो, फांसी की सज़ा होनी चाहिए..👍 CBIForPalgharLynching",1,hi
दोनों बीविओं ने तुझे छोड़ दिया ! जब एक इंसान कमीना बोले तो वोह पागल कहलाता हैं ! लेकिन जब पूरी दुनिया कहे तब मान ले बेटा की तू चू...या हैं!!!!,1,hi
जो हिन्दू होकर कटुओं की तरफदारी करें कलंक तो वो ही है। चिकनी चुपडी बातों से रंडी भी खुश हो लेते हैं,1,hi
अरुणाचल प्रदेश के कांग्रेस विधायक निनोंग एरिंग ने ट्वीट किया है कि चीन की पीपुल्स लिबरेशन आर्मी ने अरुणाचल के अपर सुबनसिरी जिले से पांच लोगों का कथित तौर पर अपहरण कर लिया है. कुछ महीने पहले भी ऐसी ही घटना हुई थी.,0,hi
ओर बाहर जनता कमिनी कांग्रेस कि धज्जीया उडा रही हे चरणचाटो,1,hi
"अब वोह दिन दुर नही,🙄 जब हमको ये सुनने को मिलेगा ""मुंबई की ज़मीन जायदाद पर पेहला हक रोहोंगिया मुसलमानों और बाँग्लादेशी घुसपैठियो का""🤔",1,hi
प्रतिसत सत्य कथन हिंदू समाज की धार्मिक भावनाओं से खिलवाड़ किया जा रहा सूअर की कोम देशद्रोही हैं,1,hi
2014 से पहले का हमारा देश भारत जिस पर हम सभी भारतीय गर्व करते थे लेकिन 2014 से ग्रहण लग गया है देश के भाईचारा अमन प्रेम को देश की तरक्की विकास को देश की गंगा जमुनी तहज़ीब को पाखंडीयो ने खत्म कर दिया अपनी दुकान चलाने के लिए देश को बेच दिया अपना झोला मरने के लिए गद्दारो ने साथ दिया,1,hi
"पिछले कुछ ही घंटों में अभिनेता अर्जुन कपूर, पहलवान दीपक पूनिया और कांग्रेस नेता दीपेंद्र हुड्डा के कोरोना पॉज़िटिव होने की ख़बर आई है. coronaupdate",0,hi
"क्या एक लड़की के लिए रेलवे को चलानी पड़ी राजधानी एक्सप्रेस? स्टोरी: रवि प्रकाश, रांची से, बीबीसी हिन्दी के लिए आवाज़: भूमिका राय",0,hi
