text,toxic,language
"никому не нужный миша пылился на складе, и про него вспомнили только за рубежом.одна немецкая коммерческая фирма предложила выкупить мишу за крупную сумму денег.",0,ru
"не факт что так будет,а этот гандон какого хуя землю нашу раздает,дарит арабам и т.д",1,ru
"а я почему то решила, что леонтьева родилась в нашем пригороде.",0,ru
урод!8oi дай бог мальчику скорейшего выздоровления!,1,ru
а меняются именно на этой азс крайне редко!,0,ru
ушедшие в мир иной запечатлены и.е.репиным на века.,0,ru
"воровская с целью наживы в свой карман, зачем им о народе то, печься?",0,ru
"и что это молодая страна уже раком пол мира поставила, и этих самых рокфелеров гавно заставило жрать во вьетнаме.",1,ru
"где-то - как в европе (это для себя любимых), а где-то осталось как и сто лет назад",0,ru
"больше всего, меня смешат высказывания и позиция адвоката михуила!",1,ru
"это не быдло, быдло ...это истинные преступники, которых затрахает потом совесть до смерти!",1,ru
"уважаемые,кто не доволен своим бюджетом...вам не кажется,что в этом не ляйсан виновата?",0,ru
написала и выставила а рецепта нет кабачков ой икры.,0,ru
зачем уже так писать.. охуели совсем... автор ты.. гандон.,1,ru
"вот так нужно всей страной,всем вместе.тогда меньше будет таких уродов.",1,ru
а сейчас разрешена рубка леса для бама и транссиба !,0,ru
"все вы твари учились и росли в россии, получали образование, а теперь подонки хвалитесь своими пенсиями.",1,ru
"получают те,кто не получил в июле и те у кого детям будет 3 года,рожденные в 2017 году.",0,ru
"свинья , пидараса ты в зеркале видишь ,каждый день !",1,ru
"пусть он предатель , но сколько людей спас от гибели.",0,ru
то что ты пидараз это понятно но твой босс на много опережаеттебя,1,ru
правят жиды и пидорасы.а долбоебы подпевают.,1,ru
"какой автоприцел,ручками нацелился и ебнул и откатился если что",1,ru
"только так, этим пидарасам и нужно показывать!!",1,ru
"сгинь на хуй!задрала уже,-хули свой зад подставляешь,неудовлетворёнка?не нуждаюсь в отвоих ответах!что выложено-это для людей,а не для шавок подзаборных!",1,ru
а ты поп гапон заткнись свою родню агитируй,1,ru
"а поступить простому пацану в военное училище взятку просят пидоры, а тут пиздой генерала у аленевода получила",1,ru
"mw325r создает сеть wi-fi, которая обеспечит покрытие на площади до 500 м².",0,ru
"бабы брезгуют тобой,что ли?или ты уже не в состоянии стояния😅😅😅?ой бля,сколько же в руссопидорасии дрочеров,сука рашка😆😆😆",1,ru
"только нелюди могут убивать таких ангелочков: сатанисты,дьяволы,но не чело веки с душой !",1,ru
"долбоёб, его бы так и об дерево",1,ru
"потому что ты не ребенок , а алкаш",1,ru
ты даже не знаешь когда масло пальмовое стали завозить .,0,ru
"присмотритесь и послушайте встретили свою любовь всей жизни, а как это случилось?, и т. д.",0,ru
"результаты нахрен не нужны, нужно как нам говорят массовость, т.е показуха!",1,ru
возможна доставка в нижний тагил но по 100% предоплате.,0,ru
здохла твая мать шлюха да и хер с ней что черви сажрали как и тваего пилараса атца)))😂😂😂,1,ru
"парикмахер универсал, покраска/коррекция бровей, прически/укладки на любое торжество, плетение кос любой сложности.",0,ru
"на фб глянула , она скрывает фото , но прочла комменты под экраном профиля с красными шариками",0,ru
"воспитателями были наши учителя, повара их школьной столовой.",0,ru
чтобы настоящему туристу быть в восторге ему достаточно быть в походе.,0,ru
"цены снижал сталин почти сразу после войны ,а за 20 лет правления современных правителей я регулярно узнаю о повышении цен на все ну и газ в том числе ведь его продают во все страны ,а россиянам дороже всех.",0,ru
похоже ты сам из пиздосранска какогото дятел,1,ru
"а у русских алфавит тоже пришлый, как и у многих народов.",0,ru
если такой умный-почему еще на диване.или с него все отчетливо видно?,0,ru
"ты будешь сильно разочарована и очень скоро...и кстати, глянь в зеркало.",0,ru
"урод, падла на человека не похож ,мразь ебаная...",1,ru
вот вам сучарам стыдно должно быть!!!,1,ru
"ну и шуточки у папаши,аж жутковато от такой фантазии,можно было и помягче,поласковее чтоли",0,ru
"кто к нам с мечом придёт,тот долбаёб честное слово😂",1,ru
"канули в лету те времена, когда водоемы были читыми",0,ru
"люда, у меня вот столько вчера получилось из пол порции, указанных в рецепте ирины",0,ru
"— благодарю за комплимент,— но не успела она проронить и слова, как рэй словно молния потащила леди к воде.",0,ru
блядство пилять блять... слов неть у мну других #u7680e233d2s#,1,ru
"шла ты нахуй живи не обоснованная, я тебя блядину знать не знаю, ты тварь ко мне на ты, ещё и с оскорблениями",1,ru
пенсия пришла кому- нибудь по почте?,0,ru
"бля а ктож тогда баба,мужчинник,да блядь она ну нет больше слов",1,ru
сами мы лохи........ дальше будет хуже...,1,ru
тварь тараканья --- пошел иии на хуй !,1,ru
"напиши мне в личку,а там видно будет возможность и отношения",0,ru
"уроды, как можно таких красавцев просто бросить на улице.",1,ru
"сайт для вахтовиков, работяг , а не для поноса бандерлвского.",1,ru
что можно подумать о пидора..ах; что они пидора..ы.,1,ru
"в каждом три духа нечистых,духа заблуждения; неразумия,глупости,лжи.",0,ru
"сабаки спасатели наверное должны уметь раскапывать да по нюху орентироваться а не по веревкам лазить, идиоты разве так можно издеваться!!",1,ru
"этих сволочей нужно четвертовать медленно, чтобы помучались за своё зверство нелюди!",1,ru
"это вышка,на которой меня поднимали тысячи раз.",0,ru
"про международный женский день 8 марта, а по старому 23 февраля отмечают только в 2ух странах в китае и россии.",0,ru
останьтесь дома не выходите на митинги не поддерживайте пендосов.,1,ru
ну я бы сказал что не только ссср но и до нынешнего времени некоторые фермеры их успешно эксплатируют,0,ru
меня оскорблять за правдивую информацию это нормально.,0,ru
"пока ваш мозг взвешивает и думает ,у вашей жопы рождаются мысли .",1,ru
мишустин что ты творишь народ скоро попрет на вас войной,0,ru
освещают политологи.а в группе каждый имеет право высказать только свое мнение.,0,ru
юебище лесное терпеть не могу эту породу срамота тьфу,1,ru
вот такие долбоёбы и управляют страной,1,ru
говорите да что вы столе я танцевала в на трусах да вы рано ушли,0,ru
никого пластичней чем волочкова на кол ее и джигурду рядом,1,ru
я думаю что почивший иваньков был намного честнее и порядочнее патриарха гундяева путлировского жопализа !,1,ru
