text,label
"Где-то сжигают книги.. А где-то фотографов. Возможно, мы сейчас стоим у истоков целого фестиваля..
",0
"что на твоё вымя мужики неклюют, кроме моего болбеса, так ты найди своего и показывай свои причендалы шлюха😬",1
"Москва, Покровское-Стрешнево
",1
"приятно познакомиться,а меня сергей зовут!!! а,вас,значит,- уебище меркельпосади!!! давно член путину сосет,и боты его лижите???:-d﻿",1
пишите в личное сообщение,0
"... разруха, она не в сортирах, она в головах! но мочить будем в сортирах!!!",1
давно пора запретить эту химию!,0
"никто не сравнивает со своём лицом, это же убогие, уставшие после работы и уставшие от власти",0
он просто долбоеб,1
в жопу баллон с газом,1
ищу тоз 34 офицалку. писать в личку.,0
"чушок, тебе-то он для чего?",1
люся молодец,0
"на таких как ты коров и внимание ни кто не обращает, так что не старайся. береги нервы",1
"почему ,,рай для влюблённых,,это глушь какая нибудь ?!хорошо побыть ,отдохнуть на природе,вдвоём .насладиться друг другом...но позволить себе уединится на годы ,невозможно. тому много причин.,,рай,,для любимого возможно устроить по домашнему адресу...каждый день и всю жизнь.",0
"здравствуйте людмила! хотела с вами связаться лично, но ваш профиль закрыт. примите пожалуйста дружбу - хотя бы временно, для личного общения. с уважением м.",0
хохлятское чмо приезжай тебе твои слова мышь трусливая в глотку забьют 😉,1
"может кто то не поверит но на прогулке в детском саду до сих пор так, только с криками",0
"чтобы плешивый отдал, никогда.",0
сука!номер скинь ватцапа.,1
"ага, потом в магазины припрутся типа в масочках, а кто и откуда вернулся, с какого отдыха италии или китая, какая теперь разница, всё равно вторая пандемия будет и долго😏",0
а кроме 90- х вспомните 60-70-80 годы.что там было? да ничего. ни платья ни сапог купить не могли. а о машине и не мечтали. сейчас же во дворах и пройти негде. до чего довели народ!!!,0
"как надоели , с этой худобой, после 6-5, не кушайте, и всё будет в порядке, сперва будет тяжело, но потом органи см привыкнет, можно на ночь выпить кефир обезжириный, даже нужно",0
"здравствуйте,меня зовут айжан,мне 39,хотелось бы похудеть на 40кг.вообще с детства страдаю с лишним весом .сидела на диетах,худела и снова толстела.а сейчас мне просто лень.не люблю готовить и спорт.☹нравилось ходить на аквааэробику,но уже полгода там закрыто",0
3 дня собираю ножи из колекции аполовник выпало 2 шт это просто кашмар можно зделать что бы почаще выпадали колекции,0
лайкнуть надо тебе в морду....... автор ты дебил малолетний.,1
старик екклисиастр много веков назад поговаривал--что было. то и будет.что делалось. то и будет делаться и нет не чего нового под солнцем.,0
"За сралина! За левацкую помойку! Красножопые свиньи, вперед, уиииии!!! Ой, извини, теперь так: За пыню! За депутатов и их выблядков! Новиопские свинки, впереееед!!!! Уиииии!!!!
",1
яндекс в помощь.,0
пожалуйста поздравление с днём рождения внученьки лизоньки. большое спасибо.,0
ссышь когда страшно скрываешь ебальник свой.,1
"изучайтебюджетное правило. впрочем,оное скоро станет неактуально,как и такие картинки🤗😎",0
были в этом году. да феодосия стала как свой родной город,0
"чмошники они,а не отважные парни.",1
легавым хуй ворам свободу,1
ушаковка. бег - 10 км. солнечно. +22,0
"на него оденут деревяный макентош, а в его доме будет играть музыка...... ok.ru/profile/557639744385/album/803299615105/855193486209",0
